Approved Symbol	Synonyms	UniProt ID(supplied by UniProt)
BBS5	DKFZp762I194	Q8N3I7
BCAR1	P130Cas, Crkas, CAS, CASS1	P56945
BCAR3	NSP2, SH2D3B	O75815
BCAS1	NABC1, AIBC1	O75363
BCAS2	DAM1, SPF27, Snt309	O75934
BCAT1		P54687
BCAT2	BCAM	O15382
BCCIP	BCCIPalpha, TOK-1	Q9P287
BCHE	E1	P06276
BCKDHA	MSU	P12694
BCKDHB		P21953
BCL10	CARMEN, CIPER, mE10, c-E10, CLAP	O95999
BCL2	Bcl-2, PPP1R50	P10415
BCL2A1	GRS, BFL1, BCL2L5, ACC-1, ACC-2	Q16548
BCL2L1	BCLX, BCL2L, Bcl-X, bcl-xL, bcl-xS, PPP1R52	Q07817
BCL2L10	Diva, Boo, BCL-B	Q9HD36
BCL2L11	BOD, BimL, BimEL, BimS, BIM	O43521
BCL2L2	KIAA0271, BCL-W, PPP1R51	Q92843
BAK1P1	BAK2	
BAK1P2	BAK3, BAK3P	
BCL3		P20749
BCL5		
BCL6	ZBTB27, LAZ3, BCL5, BCL6A	P41182
BCL6B	ZBTB28, BAZF	Q8N143
BCL7A		Q4VC05
BCL7B		Q9BQE9
BCL7C		Q8WUZ0
NBEAP1	BCL8A	P0C6P0
BCL9		O00512
OPN1SW	BOP, CBT	P03999
BCR	D22S662, CML, PHL, ALL	P11274
BCRP2	BCR-2	
BCRP3		
BCRP4	BCR-4	
BCRP5		
BCS1L	Hs.6719, BCS, h-BCS, BJS	Q9Y276
BCYRN1	BC200, BC200a, NCRNA00004, LINC00004	
BCYRN1P1	BC200b	
BCYRN1P2	BC200g	
BDH1	SDR9C1	Q02338
BDKRB1	BKR1, B1BKR, bradyb1	P46663
BDKRB2	BK-2	P30411
BDNF		P23560
BECN1	ATG6, VPS30	Q14457
BEX1		Q9HBH7
CFB	H2-Bf	P00751
BFSP1	CP94, CP115, LIFL-H, filensin	Q12934
BFSP2	CP47, CP49, LIFL-L, phakinin	Q13515
BGLAP	OCN	P02818
BGN	DSPG1, SLRR1A	P21810
BHLHE40	DEC1, bHLHe40	O14503
BHMT	BHMT1	Q93088
BHMT2		Q9H2M3
BICD1		Q96G01
BID		P55957
BIK	NBK	Q13323
BIN1	SH3P9, AMPH2	O00499
BIN2	BRAP-1	Q9UBW5
BIN3		Q9NQY0
BLCAP	BC10	P62952
BLK	MGC10442	P51451
BLM	BS, RECQL3, RECQ2	P54132
BLMH	BH	Q13867
CXCR5	MDR15, CD185	P32302
BLVRA		P53004
BLVRB	SDR43U1	P30043
BLZF1	JEM-1	Q9H2G9
BMI1	RNF51	P35226
BMP1		P13497
BMP15	GDF9B	O95972
BMP2		P12643
BMP3		P12645
BMP4		P12644
BMP5		P22003
BMP6	VGR1	P22004
BMP7	OP-1	P18075
BMP8B	OP-2	P34820
BMPR1A	ALK3, CD292	P36894
BMPR1B	ALK6, CDw293	O00238
BMPR2	BRK-3, T-ALK, BMPR3, BMPR-II	Q13873
BMX	ETK, PSCTK3	P51813
POLR3D	TSBN51, RPC4	P05423
BNC1	HsT19447	Q01954
BNIP1	Nip1, SEC20	Q12981
BNIP2	Nip2, BNIP-2	Q12982
BNIP3	Nip3	Q12983
BNIP3L	Nix, BNIP3a	O60238
BOK	BCL2L9, BOKL, MGC4631	Q9UMX3
DST	BP240, KIAA0728, FLJ21489, FLJ13425, FLJ32235, FLJ30627, CATX-15, BPA, MACF2	Q03001
FOXL2	BPES1	P58012
BPGM		P07738
BPHL	Bph-rp	Q86WA6
BPI	BPIFD1	P17213
BPNT1		O95861
BRAF	BRAF1	P15056
BRAP	BRAP2, RNF52, IMP	
BRCA1	RNF53, BRCC1, PPP1R53	P38398
BRCA2	FAD, FAD1, BRCC2	P51587
BRD1	BRL, BRPF2	O95696
BRD2	KIAA9001, RING3, D6S113E, NAT, FSRG1	P25440
BRD3	RING3L, ORFX, KIAA0043	Q15059
BRDT	BRD6, CT9	Q58F21
BRE	BRCC45, BRCC4	Q9NXR7
ZFP36L1	RNF162B, Berg36, ERF1, TIS11B, cMG1	Q07352
ZFP36L2	ERF2, RNF162C, TIS11D	P47974
BRI3		O95415
NCAPH	CAP-H, hCAP-H	Q15003
BRS3	BB3	P32247
BSG	EMMPRIN, CD147	P35613
BSN		Q9UPA5
BST1	CD157	Q10588
BST2	CD317, tetherin	Q10589
BTBD1		Q9H0C5
BTC		P35070
BTD		P43251
KLF9		Q13886
BTF3	BTF3a, BTF3b	P20290
BTF3P11	HUMBTFB, TNFRSF11B, OPG, OCIF	
BTF3P12	HUMBTFC	
BTF3P13	HUMBTFD	
BTF3P1	HUMBTFA	
BTG1		P62324
BTG2	PC3, TIS21, MGC126063, MGC126064	P78543
BTG3	ANA, tob55	Q14201
BTK	ATK, XLA, PSCTK1	Q06187
BTN1A1	BT, BTN1	Q13410
BTN2A1	BT2.1, BTF1, BTN2.1	Q7KYR7
BTN2A2	BTF2, BT2.2, BTN2.2	Q8WVV5
BTN3A1	BT3.1, BTF5, CD277, BTN3.1	O00481
BTN3A2	BTN3.2	P78410
BTN3A3	BTF3, BTN3.3	O00478
BTNL2	HSBLMHC1, BTL-II, BTN7	Q9UIR0
BTNL3	BTNLR, BTN9.1	Q6UXE8
BTRC	bTrCP, betaTrCP, FBXW1A, Fwd1, beta-TrCP1, bTrCP1	Q9Y297
FBXW11P1		
BTS1		
BUB1	hBUB1, BUB1A	O43683
BUB1B	BUBR1, MAD3L, Bub1A, SSK1	O60566
BUB3	BUB3L	O43684
BVES	HBVES, POP1, POPDC1	Q8NE79
BVR1		
BYSL		Q13895
TSPO	PBR, MBR, PKBS, mDRC, DBI, IBP, pk18	B1AH88
C10orf2	PEO, PEO1, TWINKLE, FLJ21832, TWINL	Q96RR1
CEP55	FLJ10540, CT111	Q53EZ4
FRA10AC1		Q70Z53
C11orf1	FLJ23499	Q9H5F2
TMEM258		P61165
DAGLA	KIAA0659, NSDDR, DAGLALPHA	Q9Y4D2
RASSF7	HRC1, HRAS1	Q02833
NRIP3		Q9NQ35
TMEM9B		Q9NQ34
C11orf16		Q9NQ32
AKIP1	BCA3	Q9NQ31
ELP4	PAXNEB	Q96EB1
VPS51	ANG2, ANG3, FFR	Q9UID3
PPP6R3	SAPLa, DKFZp781E2374, DKFZp781O2362, DKFZp781E17107, SAP190, SAPL, PP6R3, FLJ11058, FLJ43065, KIAA1558, MGC125711, MGC125712	Q5H9R7
C11orf24	DM4E3	Q96F05
MRPL49	NOF, NOF1, L49mt	Q13405
ZNHIT2	FON	Q9UHR6
MPPED2	239FB, D11S302E, Hs.46638, FAM1B, dJ873F21.1, dJ1024C24.1	Q15777
MYRF	Ndt80, pqn-47, MRF	Q9Y2G1
ANO2		Q9NQ90
C12orf4		Q9NQ89
C12orf5	TIGAR	Q9NQ88
PARP11		Q9NR21
C14orf1	NET51, ERG28	Q9UKR5
C14orf2	MP68	P56378
AHSA1	p38	O95433
NPAP1		Q9NZP6
EID1	EID-1	Q9Y6B2
MRPL46	LIECG2, P2ECSL	
LINC00597		Q9H2U6
C16orf3		O95177
FBXW10	SM2SH2, HREP, Fbw10	Q5XX13
FMNL1	C17orf1	O95466
CCDC90AP1		
SMG6-IT1		
LDLRAD4		O15165
LINC00470		Q9BZP3
GIPC1	TIP-2, Hs.6454, GIPC, SEMCAP, GLUT1CBP, SYNECTIN, NIP	O14908
SERPING1	C1IN, C1-INH, HAE1, HAE2	P05155
ERC2-IT1	Po42	O76042
CRNN	SEP53	Q9UBG3
EGLN1	SM-20, PHD2, ZMYND6, HIFPH2	Q9GZT9
FAM189B	cote1	P81408
UBQLN4	A1U, UBIN	Q9NRR5
TMEM59	HSPC001	Q9BXS4
SUCO	CH1, SLP1, OPT	Q9UBS9
C1QA		P02745
C1QB		P02746
C1QBP	gC1Q-R, gC1qR, p32, SF2p32	Q07021
C1QBPP		
C1QC		P02747
C1R		P00736
C1S		P09871
C2		P06681
TPX2	p100, DIL-2	Q9ULW0
FAM3B	D21M16SJHU19e, PRED44, 2-21, ORF9, C21orf76	P58499
LCA5L	MGC33295	O95447
SETD4		Q9NVD3
C21orf2	YF5, A2, LRRC76	O43822
LINC00111		
LINC00112		
LINC00113		
LINC00114		Q6XXX2
C2CD2	TMEM24L, DKFZP586F0422, C21orf258	Q9Y426
TSPEAR	MGC11251, TSP-EAR	Q8WU66
LRRC3DN	DKFZP434C128	Q9UFM2
TSPEAR-AS1		
C21orf33	KNP-Ia, GT335, ES1, HES1, D21S2048E, KNPI, KNPH, KNP-I	P30042
LINC00478		A1L4M7
C21orf37		A6NIU2
CHODL-AS1		
TMEM50B		P56557
GRIK1-AS2		
LINC00158		P58513
LINC00159		
MIS18A	B28, FASP1, hMis18alpha	Q9NYP9
C21orf49		Q17RA5
DOPEY2	KIAA0933	Q9Y3R5
SMIM11		P58511
LINC00160		
C21orf54		A6NM66
DNAJC28	C21orf78	Q9NX36
SPATC1L		Q9H0A9
YBEY		P58557
C21orf58		P58505
C21orf59	FLJ20467, FBB18, CILD26	P57076
RWDD2B	GL011	P57060
MRAP	B27, FALP	Q8TCY5
C21orf62	B37, PRED81	Q9NYP8
MPPED1	239AB, FAM1A	O15442
CBY1	PIGEA14, PIGEA-14, Chibby, Cby	Q9Y3M2
RHBDD3	PTAG	Q9Y3P4
TBC1D22A		Q8WUA7
TMEM184B	HS5O6A, DKFZP586A1024, FM08	Q9Y519
TTLL1		O95922
FAM118A	FLJ20635, bK268H5.C22.4	Q9NWS6
KIAA0930	bK268H5.C22.1	Q6ICG6
EML4	ROPP120, ELP120	Q9HC35
GCFC2	DNABF, GCF	P16383
C3	CPAMD1, ARMD9, C3a, C3b	P01024
C3AR1	C3AR, AZ3B	Q16581
C3CER1	CER1	
TIMMDC1	FLJ22597	Q9NPL8
CLDND1		Q9NY35
C4A	CPAMD2, C4S, CO4, C4, C4A3, C4A2, C4A4, C4A6, C4B, RG	P0C0L4
C4B	CPAMD3, C4F, CO4, C4B1, C4B3, CH	P0C0L5
C4BPA		P04003
C4BPAP1		
C4BPAP2		
C4BPB		P20851
SLC30A9	HUEL, ZNT9, GAC63	Q6PML9
MYOZ2	CS-1	Q9NPC6
C5	CPAMD4, C5a, C5b	P01031
OFD1P17	71-7A3, 71-7A5	
FAM114A2	133K02	Q9NRY5
FAXDC2	FLJ13758	Q96IV6
FAM13B	N61, KHCHP, ARHGAP49	Q9NYF5
FAM53C		Q9NYF3
KDM3B	KIAA1082, NET22	Q7LBC6
C5AR1	C5A, C5AR, CD88	P21730
C6		P13671
C6orf1	LBH, MGC57858	Q86T20
TRAF3IP2	DKFZP586G0522, ACT1, CIKS	O43734
C7		P10643
SAMD9	KIAA2004, FLJ20073	Q5K651
SAMD9L	KIAA2005, FLJ39885	Q8IVG5
ASZ1	Orf3, GASZ, ALP1, CT1.19	Q8WWH4
C8A		P07357
C8B		P07358
C8G		P07360
OSGIN2	hT41	Q9Y236
ERLIN2	NET32, SPG18	O94905
C8orf4	TC-1, hTC-1	Q9NR00
C9		P02748
EQTN	AFAF, SPACA8, equatorin	Q9NQ60
C9orf3	C90RF3, FLJ14675, APO, AOPEP, AP-O	Q8N6M6
FRRS1L	CG-6	Q9P0K9
TMEM245	CG-2	Q9H330
FAM206A	CG-8, FLJ20457	Q9NX38
CACFD1	D9S2135, flower	Q9UGQ2
ADAMTS13	VWFCP, TTP, vWF-CP, FLJ42993, MGC118899, MGC118900, DKFZp434C2322	Q76LX8
C9orf9		Q96E40
CA1	Car1	P00915
CA10	CARPX, CA-RPX, HUCEP-15	Q9NS85
CA11	CARP2, CARPX1	O75493
CA12	HsT18816	O43570
CA14		Q9ULX7
CA2	Car2, CA-II, CAII	
CA3	Car3, CAIII	P07451
CA4	CAIV, Car4	P22748
CA5A	CAV, CAVA	P35218
CA5B		Q9Y2D0
CA5AP1		
CA6		P23280
CA7		P43166
CA8	CARP	P35219
CA9	MN, CAIX	Q16790
CABP1		Q9NZU7
CABP2		Q9NPB3
CABP4	CSNB2B	P57796
CACD		
CACNA1A	Cav2.1, EA2, APCA, HPCA, FHM	O00555
CACNA1B	Cav2.2, CACNN	Q00975
CACNA1C	Cav1.2, CACH2, CACN2, TS, LQT8	Q13936
CACNA1D	Cav1.3, CACH3, CACN4	Q01668
CACNA1E	Cav2.3, BII, CACH6	Q15878
CACNA1F	Cav1.4, JM8, JMC8, CSNBX2, CORDX3, CSNB2A, OA2	O60840
CACNA1G	Cav3.1, NBR13	O43497
CACNA1H	Cav3.2	O95180
CACNA1I	Cav3.3	Q9P0X4
CACNA1S	Cav1.1, hypoPP	Q13698
CACNA2D1	lncRNA-N3	P54289
CACNA2D2	KIAA0558	Q9NY47
CACNB1		Q02641
CACNB2		Q08289
CACNB3		P54284
CACNB4	EJM4	O00305
CACNG1		Q06432
CACNG2	stargazin, MGC138502, MGC138504	Q9Y698
CACNG3		O60359
CACNG4	MGC11138, MGC24983	Q9UBN1
CACNG5		Q9UF02
SLC25A20	CAC	O43772
SLC25A20P1		
CAD		P27708
CADPS	CAPS, KIAA1121, CAPS1	Q9ULU8
CALB1		P05937
CALB2	CAL2	P22676
S100G	CABP9K, CABP1	P29377
CALCA		P01258
CALCB	FLJ30166, CGRP-II	P10092
CALCP	CALC3	
CALCR	CTR	P30988
CALD1	CDM, H-CAD, L-CAD	Q05682
CALM1	CAMI, PHKD, DD132	P62158
CALM1P1		
CALM1P2	TCAG_1643085	
CALM2	PHKD, CAMII	P62158
CALM2P1		
CALM2P2		
CALM2P3		
CALM3	PHKD	P62158
CALML3	CLP	P27482
CALR	RO, SSA, cC1qR, CRT, FLJ26680	P27797
CALU		O43852
CAMK1	CaMKI	Q14012
CAMK2A	KIAA0968, CaMKIINalpha	Q9UQM7
CAMK2B	CAM2, CAMK2	Q13554
CAMK2D		Q13557
CAMK2G		Q13555
CAMK4	CaMK-GR	Q16566
CAMKK1	DKFZp761M0423, CAMKKA, MGC34095	Q8N5S9
CAMKK2	CAMKK, KIAA0787, CAMKKB, MGC15254	Q96RR4
CAMLG	CAML	P49069
CAMP	CAP18, FALL39, FALL-39, LL37	P49913
CANX	CNX, IP90, P90	P27824
CAPG	MCP	P40121
CAPN1	muCANP, muCL, CANP, CANPL1	P07384
CAPN10		Q9HC96
CAPN11		Q9UMQ6
CAPN2	mCANP, CANPml, CANPL2	P17655
CAPN3	CANP3, p94, nCL-1	P20807
CAPNS1	CANP, CANPS, 30K, CDPS	P04632
CAPN5	nCL-3, HTRA3, ADNIV	O15484
CAPN6	CAPNX, CalpM, CANPX	Q9Y6Q1
CAPN7	PalBH	Q9Y6W3
CAPN8	nCL-2	A6NHC0
CAPN9	nCL-4, GC36	O14815
CAPS	CAPS1, MGC126562	Q13938
CAPZA1		P52907
CAPZA1P		
CAPZA2	CAPZ, CAPPA2	P47755
CAPZB		P47756
SHPK	SHK	Q9UHJ6
CARS	CARS1	P49589
ALX1		Q15699
CASK	LIN2, CAGH39, FGS4	O14936
CASKP1		
CASP1	ICE	P29466
CASP10	MCH4	Q92851
CASP14	MICE, MGC119078, MGC119079	P31944
CASP2	ICH1, PPP1R57, MGC2181	P42575
CASP3	CPP32, CPP32B, Yama, apopain	P42574
CASP4	ICE(rel)II, ICH-2, TX	P49662
CASP5	ICE(rel)III	P51878
CASP6	MCH2	P55212
CASP7	MCH3, CMH-1, ICE-LAP3	P55210
CASP8	MCH5, MACH, FLICE, Casp-8	Q14790
CASP8AP2	FLASH, CED-4, RIP25, FLJ11208, KIAA1315	Q9UKL3
CASP9	MCH6, ICE-LAP6, APAF-3, PPP1R56	P55211
CASQ1	PDIB1	P31415
CASQ2	PDIB2	O14958
CASR	FHH, NSHPT, GPRC2A	P41180
CAST		P20810
CAT		P04040
CATR1		Q13166
CAV1		Q03135
CAV2	CAV	P51636
CAV3	VIP-21, LGMD1C, VIP21, LQT9	P56539
MICU1	CALC, EFHA3, FLJ12684	Q9BPX6
RUNX1T1	CDR, ETO, MTG8, ZMYND2	Q06455
CBFA2T2	MTGR1, ZMYND3	O43439
CBFA2T3	MTGR2, ZMYND4, MTG16	O75081
CBFB	PEBP2B	Q13951
SERPINA6		P08185
CBL	RNF55, c-Cbl	P22681
CBLB	RNF56, Cbl-b	Q13191
CBLN1		P23435
CBLN2		Q8IUK8
SERPINH1	HSP47, colligen	P50454
CBR1	SDR21C1	P16152
CBR3	SDR21C2	O75828
CBS	HIP4	P35520
CBX1	HP1Hs-beta, M31, MOD1, CBX, HP1-BETA	P83916
CBX2	MGC10561	Q14781
CBX3	HP1Hs-gamma	Q13185
CBX4	hPC2, PC2, NBP16	O00257
CBX5	HP1Hs-alpha, HP1, HP1-ALPHA	P45973
CBX6		O95503
CBX7		O95931
CCA1	CTRCT7	
CCAL1	CPDD	
CCBL1	KATI, GTK	Q16773
ACKR2	CCR10, D6, CCR9	O00590
CCIN	KBTBD14, BTBD20	Q13939
CCK		P06307
CCKAR		P32238
CCKBR		P32239
KRIT1	CAM	O00522
CCNA1	CT146	P78396
CCNA2		P20248
CCNB1		P14635
CCNB2	HsT17299	O95067
CCNC	CycC	P24863
CCND1	U21B31	P24385
CCND2		P30279
CCND2P1		
CCND3		P30281
CCND3P1		
CCNDBP1	DIP1, GCIP	O95273
CCNE1		P24864
CCNE2	CYCE2	O96020
CCNF	FBX1, FBXO1	P41002
CCNG1		P51959
CCNG2		Q16589
CCNH	p34, p37, CycH	P51946
CCNI	CCNI1	Q14094
CCNK	CPR4	O75909
CCNT1	CCNT, CYCT1	O60563
CCNT2		O60583
CCR1	CKR-1, MIP1aR, CD191	P32246
CCR2	CC-CKR-2, CKR2, MCP-1-R, CD192, FLJ78302	P41597
CCR3	CC-CKR-3, CKR3, CD193	P51677
CCR4	CC-CKR-4, CMKBR4, CKR4, k5-5, ChemR13, CD194	P51679
CCR5	CKR-5, CC-CKR-5, CKR5, CD195, IDDM22	P51681
CCR6	CKR-L3, GPR-CY4, CMKBR6, GPR29, DRY-6, DCR2, BN-1, CD196	P51684
CCR7	BLR2, CDw197, CD197	P32248
CCR8	CY6, TER1, CKR-L1, GPR-CY6, CDw198	P51685
CCR9	GPR-9-6, CDw199	P51686
ACKR4	CCR11, CCBP2, VSHK1, CCX-CKR, PPR1	Q9NPB9
CCRL2	HCR, CRAM-B, CKRX, CRAM-A, ACKR5	O00421
CCS		O14618
CCT		
CCT2	Cctb	P78371
CCT3	Cctg	P49368
CCT4	Cctd	P50991
CCT5	KIAA0098	P48643
CCT6A	TTCP20, TCPZ, Cctz, HTR3, TCP20	P40227
CCT6B	Cctz2, TSA303	Q92526
CCT7	Ccth, Nip7-1	Q99832
CCT8	Cctq, PRED71	P50990
CCV	CTRCT8	
XCR1		P46094
CD14		P08571
CD151	SFA-1, PETA-3, TSPAN24, RAPH	P48509
CD163	M130, MM130	Q86VB7
CD164	MUC-24, MGC-24	Q04900
CD19		P15391
CD1A		P06126
CD1B		P29016
CD1C		P29017
CD1D		P15813
CD1E		P15812
CD2		P06729
CD209	DC-SIGN, CDSIGN, DC-SIGN1, CLEC4L	Q9NNX6
CD22	SIGLEC-2, SIGLEC2	P20273
CD24	CD24A	P25063
CD24P1		
CD24P2		
CD24P3		
CD24P4		
CD28		P10747
CD2BP2	LIN1, Snu40, PPP1R59	O95400
CD33	SIGLEC3, SIGLEC-3, p67, FLJ00391	P20138
CD34		P28906
CD36	SCARB3, GPIV, FAT, GP4, GP3B	P16671
SCARB1	SRB1, CLA-1, CLA1, SR-BI	Q8WTV0
SCARB2	HLGP85, LIMPII, SR-BII, LIMP-2	Q14108
CD37	TSPAN26	P11049
CD38		P28907
CD3D		P04234
CD3E		P07766
CD3G		P09693
CD247	CD3H, CD3Q	P20963
CD4		P01730
CD44	IN, MC56, Pgp1, CD44R, HCELL, CSPG8	P16070
CD47	IAP, OA3	Q08722
CD48	BLAST, mCD48, hCD48, SLAMF2	P09326
CD5	T1	P06127
CD53	TSPAN25	P19397
CD58		P19256
CD59	16.3A5, EJ16, EJ30, EL32, G344, p18-20	P13987
CD5L	Spalpha	O43866
CD6	Tp120	P30203
CD63	ME491, TSPAN30	P08962
CD68	SCARD1, macrosialin, GP110, DKFZp686M18236, LAMP4	P34810
CD69	CLEC2C	Q07108
CD7	GP40, LEU-9, TP41, Tp40	P09564
CD72	LYB2, CD72b	P21854
CD74		P04233
CD79A	MB-1	P11912
CD79B	B29	P40259
CD80	B7.1, B7-1	P33681
CD81	TAPA-1, TSPAN28	P60033
CD83	HB15, BL11	Q01151
CD84	SLAMF5, hCD84, mCD84	Q9UIB8
CD86	B7.2, B7-2	P42081
CD8A		P01732
CD8B		P10966
CD8BP		A6NJW9
CD9	BA2, P24, TSPAN29, MRP-1	P21926
CD97	TM7LN1	P48960
CDA	CDD	P32320
CDAN1	CDA-I, CDAI	Q8IWY9
CDAN3	CDAIII	
CDB2	CDTB	
SEPT7	CDC3, SEPT7A	Q16181
CDC14A	Cdc14A1, Cdc14A2, cdc14	Q9UNH5
CDC14B	Cdc14B1, Cdc14B2, CDC14B3, hCDC14B	O60729
CDC16	APC6, ANAPC6, CUT9	Q13042
CDK1	CDC28A	P06493
CDC20	p55CDC, CDC20A	Q12834
CDC23	APC8, ANAPC8, CUT23	Q9UJX2
CDC25A		P30304
CDC25B		P30305
CDC25C	PPP1R60	P30307
CDC27	APC3, ANAPC3, NUC2	P30260
CDK11B	CDK11-p110, CDK11-p58, CDK11-p46	P21127
CDK11A	PITSLRE, CDK11-p110, CDK11-p58, CDK11-p46, p58GTA	Q9UQ88
CDK13	CHED, CDC2L, KIAA1791	Q14004
CDC34	E2-CDC34, UBE2R1, UBC3	P49427
CDC37	P50CDC37	Q16543
CDC42	G25K, CDC42Hs	P60953
CDC42BPA	MRCKA, PK428, FLJ23347, KIAA0451, MRCK	Q5VT25
CDC42BPB	MRCKB, KIAA1124	Q9Y5S2
CDC45		O75419
LRBA	BGL, LAB300, LBA	P50851
CDC5L	PCDC5RP, hCDC5, CEF1, CDC5	Q99459
CDC6		Q99741
CDC7	Hsk1, huCdc7, HsCdc7	O00311
CDH1	uvomorulin, CD324	P12830
CDH10		Q9Y6N8
CDH11	OB, CAD11	P55287
CDH12	Br-cadherin, CDHB	P55289
CDH12P2	C41-CAD	
CDH13	CDHH	P55290
CDH15		P55291
CDH16		O75309
CDH17	HPT-1, cadherin	Q12864
CDH18	CDH14, EY-CADHERIN	Q13634
CDH19	CDH7	Q9H159
CDH2	CDHN, CD325	P19022
CDH20	CDH7L3, Cdh7	Q9HBT6
CDH3	CDHP, PCAD	P22223
CDH4		P55283
CDH5	7B4, CD144	P33151
CDH6		P55285
CDH7		Q9ULB5
CDH8		P55286
CDH9		Q9ULB4
CDIPT	PIS1, PIS	O14735
CDK10	PISSLRE	Q15131
CDK2		P24941
CDK3		Q00526
CDK4	PSK-J3	P11802
CDK5	PSSALRE	Q00535
CDK5R1	p35nck5a, Nck5a	Q15078
CDK5R2	p39nck5ai, P39, NCK5AI	Q13319
CDK6	PLSTIRE	Q00534
CDK7	CAK1, CDKN7, MO15, STK1, CAK	P50613
CDK8	K35	P49336
CDK9	PITALRE, C-2k, TAK	P50750
CDKL1	KKIALRE	Q00532
CDKL2	P56, KKIAMRE	Q92772
CDKN1A	P21, CIP1, WAF1, SDI1, CAP20, p21CIP1, p21Cip1/Waf1	P38936
CDKN1B	KIP1, P27KIP1	P46527
CDKN1C	P57, KIP2	P49918
CDKN2A	CDK4I, p16, INK4a, MTS1, CMM2, ARF, p19, p14, INK4, p16INK4a, p19Arf	P42771
CDKN2B	P15, MTS2, INK4B, TP15, CDK4I, p15INK4b	P42772
CDKN2C	INK4C, p18	P42773
CDKN2D	INK4D, p19	P55273
CDKN3	KAP, CDI1	Q16667
CDL1		
CDL2		
CDO1		Q16878
CDR1	CDR62A, CDR34	P51861
CDR2	CDR62, Yo	Q01850
CDS1		Q92903
CDS2		O95674
CDSN	D6S586E	Q15517
CD52		P31358
CDX1		P47902
CDX2		Q99626
CDX4		O14627
CDY1	CDY1A	Q9Y6F8
CDY2A		Q9Y6F7
CDYL	DKFZP586C1622, CDYL1	Q9Y232
CEACAM1	BGP1, CD66a	P13688
CEACAM3	CD66d	P40198
CEACAM4		O75871
CEACAM5	CD66e	P06731
CEACAM6	CD66c	P40199
CEACAM7	CEA	Q14002
CEACAM8	CD66b	P31997
CEACAMP1		
CEACAMP10		
CEACAMP11		
CEACAMP2		
CEACAMP3		
CEACAMP4		
CEACAMP5		
CEACAMP6		
CEACAMP7		
CEACAMP8		
CEACAMP9		
CEBPA	C/EBP-alpha	P49715
CEBPB	LAP, CRP2, NFIL6, IL6DBP, C/EBP-beta	P17676
CEBPD	CRP3, CELF, C/EBP-delta, NF-IL6-beta	P49716
CEBPE	CRP1	Q15744
CEBPG	GPE1BP, IG/EBP-1	P53567
CECR		
CECR1	ADGF	Q9NZK5
CECR2	KIAA1740	Q9BXF3
CECR3		
CECR5-AS1	NCRNA00017	
CECR5		Q9BXW7
CECR6		Q9BXQ6
CECR7	SAHL1	
HSFY1P1	HSFYP1, HSFYL1	
CECR9		P0C854
CEL	BSSL, MODY8	P19835
CELP		
CELSR1	ME2, HFMI2, FMI2, CDHF9	Q9NYQ6
CENPA	CENP-A, CenH3	P49450
CENPB		P07199
CENPC	CENP-C, hcp-4, MIF2	Q03188
CENPCP1		
CENPE	KIF10, PPP1R61	Q02224
CENPF	hcp-1	P49454
CNTRL		Q7Z7A1
CEP250	C-NAP1	Q9BV73
CEPA		
CER1	DAND4	O95813
CES1	HMSE, CES2, HMSE1, SES1, CEH, CES1A1, CES1A2	P23141
CES2	CE-2, iCE, CES2A1	O00748
CES3	FLJ21736, ES31	Q6UWW8
CETN1	CEN1	Q12798
CETN2	CEN2	P41208
CETN3	CEN3	O15182
CETP	BPIFF	P11597
CFDP1	BCNT, p97, CP27, SWC5, Yeti, CENP-29	Q9UEE9
CFL1		P23528
CFL2	NEM7	Q9Y281
CFLAR	CASH, Casper, CLARP, FLAME, FLIP, I-FLICE, MRIT, c-FLIP	O15519
CFL1P5		
CFL1P2		
CFL1P3		
CFL1P4		
CFM1		
CFM2		
CFTR	MRP7, ABC35, TNR-CFTR, dJ760C5.1, CFTR/MRP	P13569
CGA	HCG, GPHa, GPHA1, FSHA, LHA, TSHA	P01215
CGB	CGB3	P01233
CGF1		
CGGBP1	p20-CGGBP, CGGBP	Q9UFW8
CH25H		O95992
VPS13A	KIAA0986	Q96RL7
CHAD	SLRR4A	O15335
CHAF1A	CAF1P150, CAF1B, CAF-1, CAF1, P150, MGC71229	Q13111
CHAF1B	CAF1P60, CAF-1, CAF1, CAF1A, MPP7, MPHOSPH7	Q13112
CHAT		P28329
RCC1		P18754
RCBTB2		O95199
CHD1		O14646
CHD1L	ALC1	Q86WJ1
CHD2	FLJ38614, DKFZp547I1315, DKFZp781D1727, DKFZp686E01200	O14647
CHD3	Mi-2a, ZFH, Mi2-ALPHA	Q12873
CHD4	Mi-2b, Mi2-BETA	Q14839
CHED1	CHED	
CHEK1	CHK1	O14757
FOXN3		O00409
CHGA		P10645
CHGB		P05060
CHI3L1	GP39, YKL40	P36222
CHI3L2	YKL-39, YKL39	Q15782
CHIC1	BRX	Q5VXU3
CHIC2	BTL	Q9UKJ5
CHIT1	CHIT, CHI3	Q13231
CHKA	CKI	P35790
CHKB	CHETK	Q9Y259
CHL1	CALL, L1CAM2, FLJ44930, MGC132578	O00533
CHM	REP-1	P24386
CHML	REP-2	P26374
CHN1	RhoGAP2, ARHGAP2, n-chimerin	P15882
CHN2	ARHGAP3, RhoGAP3	P52757
CHR		
CHRD		Q9H2X0
CHRM1		P11229
CHRM2		P08172
CHRM3		P20309
CHRM4		P08173
CHRM5		P08912
CHRNA1		P02708
CHRNA2		Q15822
